#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|         random_data_secrets.bin|  6.93e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.45966514|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.84452357|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.95779515|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.43682903|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.77447047|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.52896778|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.50180181|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.52504516|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.67318143|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.78423270|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.33855955|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.00391656|   WEAK   
      rgb_lagged_sum|  32|   1000000|     100|0.69556069|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.41007139|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.91748640|  PASSED  
             dab_dct| 256|     50000|       1|0.84266596|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.01856470|  PASSED  
        dab_filltree|  32|  15000000|       1|0.70592880|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.15429059|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.89233288|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.06029333|  PASSED  
