#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|         random_data_randint.bin|  4.38e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.98982049|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.15615521|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.13643966|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.79652036|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.54865149|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.11853500|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.74986182|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.64283187|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.36745609|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.16348860|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.80302024|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.00898099|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.76080484|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.23544553|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.19670359|  PASSED  
             dab_dct| 256|     50000|       1|0.07849139|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.00181713|   WEAK   
        dab_filltree|  32|  15000000|       1|0.01262052|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.29099035|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.17550662|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.80996902|  PASSED  
