#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 rnd-openssl.bin|  6.68e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.47779649|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.85024075|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.36662794|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.99986054|   WEAK   
      rgb_lagged_sum|  24|   1000000|     100|0.00045919|   WEAK   
      rgb_lagged_sum|  25|   1000000|     100|0.88970423|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.39248772|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.57024793|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.38105426|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.08549933|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.68601305|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.10792513|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.94699400|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.15205128|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.15591050|  PASSED  
             dab_dct| 256|     50000|       1|0.18128319|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.86394213|  PASSED  
        dab_filltree|  32|  15000000|       1|0.72573851|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.20441436|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.23671431|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.30866699|  PASSED  
